state	tree1	tree2	MatchingSplit
559	5	79	8.0
560	5	80	4.0
561	5	81	8.0
562	5	82	7.0
563	5	83	7.0
564	5	84	8.0
565	5	85	8.0
566	5	86	8.0
567	5	87	8.0
568	5	88	7.0
569	5	89	8.0
570	5	90	8.0
571	5	91	8.0
572	5	92	8.0
573	5	93	8.0
574	5	94	8.0
575	5	95	8.0
576	5	96	8.0
577	5	97	7.0
578	5	98	10.0
579	5	99	10.0
580	6	7	5.0
581	6	8	5.0
582	6	9	9.0
583	6	10	12.0
584	6	11	6.0
585	6	12	6.0
586	6	13	11.0
587	6	14	12.0
588	6	15	6.0
589	6	16	11.0
590	6	17	6.0
591	6	18	9.0
592	6	19	17.0
593	6	20	17.0
594	6	21	14.0
595	6	22	14.0
596	6	23	9.0
597	6	24	12.0
598	6	25	12.0
599	6	26	14.0
600	6	27	12.0
601	6	28	14.0
602	6	29	12.0
603	6	30	12.0
604	6	31	12.0
605	6	32	12.0
606	6	33	12.0
607	6	34	12.0
608	6	35	6.0
609	6	36	6.0
610	6	37	12.0
611	6	38	12.0
612	6	39	9.0
613	6	40	16.0
614	6	41	9.0
615	6	42	9.0
616	6	43	9.0
617	6	44	14.0
618	6	45	14.0
619	6	46	14.0
620	6	47	12.0
621	6	48	12.0
622	6	49	14.0
623	6	50	12.0
624	6	51	12.0
625	6	52	9.0
626	6	53	12.0
627	6	54	14.0
628	6	55	14.0
629	6	56	12.0
630	6	57	12.0
631	6	58	12.0
632	6	59	12.0
633	6	60	12.0
634	6	61	12.0
635	6	62	12.0
636	6	63	14.0
637	6	64	12.0
638	6	65	9.0
639	6	66	12.0
640	6	67	12.0
641	6	68	12.0
642	6	69	12.0
643	6	70	12.0
644	6	71	9.0
645	6	72	12.0
646	6	73	9.0
647	6	74	9.0
648	6	75	12.0
649	6	76	12.0
650	6	77	12.0
651	6	78	12.0
652	6	79	12.0
653	6	80	14.0
654	6	81	12.0
655	6	82	9.0
656	6	83	9.0
657	6	84	12.0
658	6	85	12.0
659	6	86	12.0
660	6	87	12.0
661	6	88	9.0
662	6	89	12.0
663	6	90	12.0
664	6	91	12.0
665	6	92	12.0
666	6	93	12.0
667	6	94	12.0
668	6	95	12.0
669	6	96	12.0
670	6	97	9.0
671	6	98	6.0
672	6	99	6.0
673	7	8	4.0
674	7	9	6.0
675	7	10	9.0
676	7	11	9.0
677	7	12	9.0
678	7	13	10.0
679	7	14	9.0
680	7	15	9.0
681	7	16	8.0
682	7	17	9.0
683	7	18	6.0
684	7	19	16.0
685	7	20	16.0
686	7	21	11.0
687	7	22	11.0
688	7	23	6.0
689	7	24	13.0
690	7	25	9.0
691	7	26	11.0
692	7	27	9.0
693	7	28	11.0
694	7	29	9.0
695	7	30	9.0
696	7	31	9.0
697	7	32	9.0
698	7	33	9.0
699	7	34	9.0
700	7	35	9.0
701	7	36	9.0
702	7	37	9.0
703	7	38	13.0
704	7	39	6.0
705	7	40	13.0
706	7	41	6.0
707	7	42	6.0
708	7	43	6.0
709	7	44	11.0
710	7	45	11.0
711	7	46	11.0
712	7	47	9.0
713	7	48	9.0
714	7	49	11.0
715	7	50	9.0
716	7	51	9.0
717	7	52	6.0
718	7	53	9.0
719	7	54	11.0
720	7	55	11.0
721	7	56	9.0
722	7	57	9.0
723	7	58	9.0
724	7	59	9.0
725	7	60	9.0
726	7	61	9.0
727	7	62	9.0
728	7	63	11.0
729	7	64	9.0
730	7	65	6.0
731	7	66	9.0
732	7	67	9.0
733	7	68	9.0
734	7	69	9.0
735	7	70	9.0
736	7	71	6.0
737	7	72	9.0
738	7	73	6.0
739	7	74	6.0
740	7	75	9.0
741	7	76	9.0
742	7	77	9.0
743	7	78	9.0
744	7	79	9.0
745	7	80	11.0
746	7	81	9.0
747	7	82	6.0
748	7	83	6.0
749	7	84	9.0
750	7	85	9.0
751	7	86	9.0
752	7	87	9.0
753	7	88	6.0
754	7	89	9.0
755	7	90	9.0
756	7	91	9.0
757	7	92	9.0
758	7	93	9.0
759	7	94	9.0
760	7	95	9.0
761	7	96	9.0
762	7	97	6.0
763	7	98	9.0
764	7	99	9.0
765	8	9	4.0
766	8	10	7.0
767	8	11	7.0
768	8	12	7.0
769	8	13	8.0
770	8	14	7.0
771	8	15	7.0
772	8	16	6.0
773	8	17	7.0
774	8	18	4.0
775	8	19	16.0
776	8	20	16.0
777	8	21	9.0
778	8	22	9.0
779	8	23	4.0
780	8	24	11.0
781	8	25	7.0
782	8	26	11.0
783	8	27	7.0
784	8	28	11.0
785	8	29	7.0
786	8	30	7.0
787	8	31	7.0
788	8	32	7.0
789	8	33	7.0
790	8	34	7.0
791	8	35	7.0
792	8	36	7.0
793	8	37	7.0
794	8	38	11.0
795	8	39	4.0
796	8	40	13.0
797	8	41	4.0
798	8	42	4.0
799	8	43	4.0
800	8	44	11.0
801	8	45	11.0
802	8	46	11.0
803	8	47	7.0
804	8	48	7.0
805	8	49	11.0
806	8	50	7.0
807	8	51	7.0
808	8	52	4.0
809	8	53	7.0
810	8	54	11.0
811	8	55	11.0
812	8	56	7.0
813	8	57	7.0
814	8	58	7.0
815	8	59	7.0
816	8	60	7.0
817	8	61	7.0
818	8	62	7.0
819	8	63	11.0
820	8	64	7.0
821	8	65	4.0
822	8	66	7.0
823	8	67	7.0
824	8	68	7.0
825	8	69	7.0
826	8	70	7.0
827	8	71	4.0
828	8	72	7.0
829	8	73	4.0
830	8	74	4.0
831	8	75	7.0
832	8	76	7.0
833	8	77	7.0
834	8	78	7.0
835	8	79	7.0
836	8	80	11.0
837	8	81	7.0
838	8	82	4.0
839	8	83	4.0
840	8	84	7.0
841	8	85	7.0
842	8	86	7.0
843	8	87	7.0
844	8	88	4.0
845	8	89	7.0
846	8	90	7.0
847	8	91	7.0
848	8	92	7.0
849	8	93	7.0
850	8	94	7.0
851	8	95	7.0
852	8	96	7.0
853	8	97	4.0
854	8	98	7.0
855	8	99	7.0
856	9	10	3.0
857	9	11	3.0
858	9	12	3.0
859	9	13	4.0
860	9	14	3.0
861	9	15	3.0
862	9	16	2.0
863	9	17	3.0
864	9	18	0.0
865	9	19	12.0
866	9	20	12.0
867	9	21	5.0
868	9	22	5.0
869	9	23	0.0
870	9	24	7.0
871	9	25	3.0
872	9	26	7.0
873	9	27	3.0
874	9	28	7.0
875	9	29	3.0
876	9	30	3.0
877	9	31	3.0
878	9	32	3.0
879	9	33	3.0
880	9	34	3.0
881	9	35	3.0
882	9	36	3.0
883	9	37	3.0
884	9	38	7.0
885	9	39	0.0
886	9	40	9.0
887	9	41	0.0
888	9	42	0.0
889	9	43	0.0
890	9	44	7.0
891	9	45	7.0
892	9	46	7.0
893	9	47	3.0
894	9	48	3.0
895	9	49	7.0
896	9	50	3.0
897	9	51	3.0
898	9	52	0.0
899	9	53	3.0
900	9	54	7.0
901	9	55	7.0
902	9	56	3.0
903	9	57	3.0
904	9	58	3.0
905	9	59	3.0
906	9	60	3.0
907	9	61	3.0
908	9	62	3.0
909	9	63	7.0
910	9	64	3.0
911	9	65	0.0
912	9	66	3.0
913	9	67	3.0
914	9	68	3.0
915	9	69	3.0
916	9	70	3.0
917	9	71	0.0
918	9	72	3.0
919	9	73	0.0
920	9	74	0.0
921	9	75	3.0
922	9	76	3.0
923	9	77	3.0
924	9	78	3.0
925	9	79	3.0
926	9	80	7.0
927	9	81	3.0
928	9	82	0.0
929	9	83	0.0
930	9	84	3.0
931	9	85	3.0
932	9	86	3.0
933	9	87	3.0
934	9	88	0.0
935	9	89	3.0
936	9	90	3.0
937	9	91	3.0
938	9	92	3.0
939	9	93	3.0
940	9	94	3.0
941	9	95	3.0
942	9	96	3.0
943	9	97	0.0
944	9	98	3.0
945	9	99	3.0
946	10	11	6.0
947	10	12	6.0
948	10	13	5.0
949	10	14	0.0
950	10	15	6.0
951	10	16	5.0
952	10	17	6.0
953	10	18	3.0
954	10	19	12.0
955	10	20	12.0
956	10	21	2.0
957	10	22	2.0
958	10	23	3.0
959	10	24	8.0
960	10	25	0.0
961	10	26	7.0
962	10	27	0.0
963	10	28	7.0
964	10	29	0.0
965	10	30	0.0
966	10	31	0.0
967	10	32	0.0
968	10	33	0.0
969	10	34	0.0
970	10	35	6.0
971	10	36	6.0
972	10	37	0.0
973	10	38	8.0
974	10	39	3.0
975	10	40	9.0
976	10	41	3.0
977	10	42	3.0
978	10	43	3.0
979	10	44	6.0
980	10	45	6.0
981	10	46	6.0
982	10	47	0.0
983	10	48	0.0
984	10	49	6.0
985	10	50	0.0
986	10	51	0.0
987	10	52	3.0
988	10	53	0.0
989	10	54	7.0
990	10	55	7.0
991	10	56	0.0
992	10	57	0.0
993	10	58	0.0
994	10	59	0.0
995	10	60	0.0
996	10	61	0.0
997	10	62	0.0
998	10	63	6.0
999	10	64	0.0
1000	10	65	3.0
1001	10	66	0.0
1002	10	67	0.0
1003	10	68	0.0
1004	10	69	0.0
1005	10	70	0.0
1006	10	71	3.0
1007	10	72	0.0
