Bootstrap rep 1 (of 100) 
random seed = 114550
gen	best_like	time	optPrecision
4490	-1310.94946	6	0.01
4500	-1310.94946	6	0.01
4510	-1310.949303	6	0.01
4520	-1310.949303	6	0.01
4530	-1310.94882	6	0.01
4540	-1310.94882	6	0.01
4550	-1310.948683	6	0.01
4560	-1310.948488	6	0.01
4570	-1310.948488	6	0.01
4580	-1310.948488	6	0.01
4590	-1310.948488	6	0.01
4600	-1310.948488	6	0.01
4610	-1310.948488	6	0.01
4620	-1310.948488	6	0.01
4630	-1310.948488	6	0.01
4640	-1310.948488	6	0.01
4650	-1310.948488	6	0.01
4660	-1310.948488	6	0.01
4670	-1310.948488	6	0.01
4680	-1310.948488	6	0.01
4690	-1310.948488	6	0.01
4700	-1310.948488	6	0.01
4710	-1310.948488	7	0.01
4720	-1310.948488	7	0.01
4730	-1310.948415	7	0.01
4740	-1310.948407	7	0.01
4750	-1310.948407	7	0.01
4760	-1310.948407	7	0.01
4770	-1310.948407	7	0.01
4780	-1310.948407	7	0.01
4790	-1310.948315	7	0.01
4800	-1310.948315	7	0.01
4810	-1310.948315	7	0.01
4820	-1310.948315	7	0.01
4830	-1310.948315	7	0.01
4840	-1310.948315	7	0.01
4850	-1310.948315	7	0.01
4860	-1310.948315	7	0.01
4870	-1310.948315	7	0.01
4880	-1310.948315	7	0.01
4890	-1310.948315	7	0.01
4900	-1310.948315	7	0.01
4910	-1310.948315	7	0.01
4920	-1310.948315	7	0.01
4930	-1310.948315	7	0.01
4940	-1310.948315	7	0.01
4950	-1310.948315	7	0.01
4960	-1310.94828	7	0.01
4970	-1310.94828	7	0.01
4980	-1310.94828	7	0.01
4990	-1310.94828	7	0.01
5000	-1310.94828	7	0.01
5010	-1310.94828	7	0.01
5020	-1310.94828	7	0.01
5030	-1310.94828	7	0.01
5040	-1310.94828	7	0.01
5050	-1310.94828	7	0.01
5060	-1310.948272	7	0.01
5070	-1310.948272	7	0.01
5080	-1310.948272	7	0.01
5090	-1310.948272	7	0.01
5100	-1310.948272	7	0.01
5110	-1310.948272	7	0.01
5120	-1310.948272	7	0.01
5130	-1310.948272	7	0.01
5140	-1310.948203	7	0.01
5150	-1310.948203	7	0.01
5160	-1310.948203	7	0.01
5170	-1310.948203	7	0.01
5180	-1310.948203	7	0.01
5190	-1310.948203	7	0.01
5200	-1310.948203	7	0.01
5210	-1310.948203	7	0.01
5220	-1310.948203	7	0.01
5230	-1310.948203	7	0.01
5240	-1310.948203	7	0.01
5250	-1310.948203	7	0.01
5260	-1310.948203	7	0.01
5270	-1310.948203	7	0.01
5280	-1310.948203	7	0.01
5290	-1310.948203	7	0.01
5300	-1310.948203	7	0.01
5310	-1310.948203	7	0.01
5320	-1310.948203	7	0.01
5330	-1310.948203	7	0.01
5340	-1310.948203	7	0.01
5350	-1310.948203	7	0.01
5360	-1310.948203	8	0.01
5370	-1310.948203	8	0.01
5380	-1310.948203	8	0.01
5390	-1310.948203	8	0.01
5400	-1310.948203	8	0.01
5410	-1310.948203	8	0.01
5420	-1310.948203	8	0.01
5430	-1310.948203	8	0.01
5440	-1310.948203	8	0.01
5450	-1310.948117	8	0.01
5460	-1310.948117	8	0.01
5470	-1310.948076	8	0.01
5480	-1310.948076	8	0.01
5490	-1310.948076	8	0.01
5500	-1310.947897	8	0.01
5510	-1310.947897	8	0.01
5520	-1310.947897	8	0.01
5530	-1310.947897	8	0.01
5540	-1310.947551	8	0.01
5550	-1310.947551	8	0.01
5560	-1310.947551	8	0.01
5570	-1310.947551	8	0.01
5580	-1310.947551	8	0.01
5590	-1310.947551	8	0.01
